SPORES,wind_onshore,wind_offshore,roof_mounted_pv,open_field_pv,biofuel_supply,waste_supply,electrolysis,battery,heat_storage_big,heat_storage_small,hydrogen_storage
103,1876.36,1240.51,124.65,1466.73,116.9454513,28.21,452.08,13,93.25,1987.68,4.23
104,1828.48,1315.75,0,1159.72,254.89079,28.2,437.84,9.92,81.09,1604.3,3.14
105,1706.46,1236.66,11.13,1285.13,446.3362805,28.2,410.27,12,0.41,2005.54,4.3
106,2280.31,1146.35,0.08,1108.3,55.79976416,28.19,463.04,20.79,70.64,1341.72,2.03
107,2374.37,801.9,0.31,1995.15,961.0345621,28.28,642.47,0.21,380.32,1023.99,6.55
108,1914.4,1173.79,253.51,982.41,368.1161365,28.2,418.25,12.93,78.48,1887.68,2.96
109,2061.15,1199.55,0,1447.75,124.3412645,28.2,466.39,12.36,79.29,1630.67,3.71
110,1701.96,1171.99,60.22,1443.96,761.1025122,28.26,511.95,1.07,410.08,2284.05,6.49
111,2245.32,968.73,53.26,2507.38,63.41637403,28.18,461.8,25.92,70.76,1885,0.4
112,2083.95,1100.68,114,936.59,282.6545356,28.21,446.81,0,82.78,1722.37,4.64
113,1850.12,783.96,13.57,1739.54,855.4694944,28.67,448.85,1,1069.37,3572.24,6.24
114,1813.83,1310.59,14.33,1223.89,140.132723,28.21,459.84,0,105.66,1908.52,4.93
115,1914.98,1259.24,0,1205.73,142.5978552,28.21,455.87,10.88,110.93,1988.69,5.16
116,2293.52,1131.14,0.05,1124.73,58.33191607,28.18,462.47,21.5,0.05,1373.63,3.9
117,3710.76,0,542.17,1736.42,95.72657504,28.23,461.74,9.71,72.37,1607.75,6.21
118,2169.37,782.01,196.63,1561.13,386.5417733,28.28,407.38,13.37,128.19,1594.72,15.31
119,2231.19,986.34,0,2538.12,62.98272995,28.18,461.51,23.31,70.72,1907.83,0.5
120,1968.75,1170.11,166.13,1283.59,130.9090184,28.22,457.53,13.86,127.75,1746.88,6.9
121,1853.9,1293.88,11.19,1315.35,140.5055502,28.21,457.69,10.23,92.92,1982.38,4.55
122,2245.36,968.7,53.26,2507.39,63.42250603,28.18,461.8,25.92,70.76,1884.92,0.55
123,2245.36,968.7,53.26,2507.39,63.42250603,28.18,461.8,25.92,70.76,1884.92,0.55
124,1745.39,1344.19,27.29,1510.21,146.416796,28.2,450.24,10.22,87.62,1652.18,3.24
125,3144.72,40.61,67.1,2561.97,1035.670712,36.76,515.88,0,0,0,0
126,3099.77,15.26,20.38,2013.49,566.23841,35.76,336.41,66.16,305.55,2418.6,1601.02
127,1627.13,1425.52,36.5,1345.93,129.4971908,28.21,447.2,12.05,96.89,1366.6,4.36
128,1615.72,1367.03,21.71,1395.43,237.1123203,28.21,428.7,14.71,86.16,1696.9,4.2
129,1757.82,1339.73,32.26,1495.7,145.3596289,28.2,449.68,11.82,87.79,1615.21,3.96
130,3119.32,32.16,55.83,2653.34,914.3567097,32.21,516.92,121.88,0,4477.84,3950.75
131,2265.07,954.5,52.75,2509.81,60.98021858,28.18,462.22,25.81,0,1903.85,1.54
132,1951.54,1128.89,204.8,1140.78,294.3991616,28.19,430.06,47.32,91.56,0.13,2.57
133,1868.57,1272.94,33.75,1156.44,137.4365588,28.2,461.43,41.85,107.99,0.18,3.46
134,1896.73,1199.4,35.6,1352.53,230.5215954,28.19,450.88,0,0.21,0.19,0
135,2280.31,1146.35,0.08,1108.3,55.79976416,28.19,463.04,20.79,70.64,1341.72,2.03
136,1848.91,1282.68,32.33,1096.64,226.9987155,28.18,450.8,10.6,0,1499.67,1.53
137,2027.08,1115.29,101.81,986.58,301.2231298,28.21,440.85,12.67,101.3,1699.73,5.07
138,1920.52,1151.16,255.37,1177.38,251.1809637,28.2,430.17,11.68,83.43,1694.7,4.1
139,1793.67,805.69,37.48,1816.72,895.7902814,28.92,448.97,0.25,1073.13,4032.7,6.03
140,1745.85,1315.3,83.13,1503.04,145.0746204,28.21,448.46,10.99,95.8,1674.37,0.05
141,3129.36,0,55.88,2662.65,887.3714478,34.67,519.48,114.66,818.12,3960.3,3149.87
142,3754.83,0,59.55,2963.13,51.43648673,28.18,491.77,49.63,70.84,1482.04,0.9
143,2952.76,120.71,41.58,2909.87,967.1775572,34.73,510.39,98.55,652.13,3474.68,2569.12
144,374.84,1817.15,0,2165.23,805.4957349,28.21,415.01,38.74,198.61,1064.86,2.35
145,1853.9,1293.88,11.19,1315.35,140.5055502,28.21,457.69,10.23,92.92,1982.38,4.55
146,1800.52,1263.68,73.11,1539.29,200.2661942,28.18,446.01,0,0,0,0
147,2372.01,686.34,0.19,1942.22,551.2365478,28.25,302.15,32.21,67.43,1749.88,9.86
148,1627.05,1425.53,36.51,1345.67,129.672761,28.21,447.16,12.03,96.95,1366.7,3.6
149,1944.39,1262.87,33.13,1081.17,123.2141184,28.21,465.27,11.63,96.87,1540.79,4.77
150,1876.65,1240.25,124.65,1466.79,117.0126567,28.21,452.08,13.03,93.23,1987.17,4.75
151,2339.38,383.6,0.12,2539.63,901.9982774,29.7,451.7,0.29,1061.49,3779.74,5.79
152,2280.24,1146.41,0.07,1108.25,55.78464728,28.19,463.04,20.79,70.66,1341.56,1.74
153,2516.01,721.69,131.6,2210.2,1169.88906,28.23,707.46,0.08,236.36,394.9,14.06
154,1944.39,1262.87,33.13,1081.17,123.2141184,28.21,465.27,11.63,96.87,1540.79,4.77
155,1656.63,1122.99,158.99,1321.22,551.6377185,28.22,344.88,18.74,101.68,1556.11,4.31
156,1840.01,1156.98,99.9,1479.73,345.846809,28.18,412.83,0,0,0,0
157,2062.71,969.85,0.21,1303.56,551.3594528,28.21,318.94,20.77,69.33,1316.04,4.11
158,733.93,697.01,0.05,4784.76,833.6777006,28.22,632.83,108.86,463.08,667.76,7.75
159,1854.23,1293.8,11.18,1315.34,140.3049149,28.21,457.72,10.24,92.85,1981.75,4.98
160,2199.25,822.71,130.91,1382.97,551.1865037,28.24,306.78,16.5,67.89,1735.32,7.85
161,1917.99,1174.72,198.97,1132.46,255.2391875,28.2,433.48,11.24,82.54,1702.94,3.98
162,997.91,1306,61.35,1920.61,574.0251638,28.24,388.42,16.97,298.44,1096.2,7.17
