SPORE,Total renewable capacity,Electrolysis capacity ,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
151,0.392378029,0.286,1,0.527822096,0.398354568,0.474024163
152,0.190787487,0.306,1,0.993712234,0.349867186,0.508620248
153,0.480123764,0.739,1,0.074578999,0.329305174,0.345673656
154,0.131672618,0.31,1,0.959294096,0.331436379,0.499262904
155,0.114573321,0.096,1,0.965294403,0.383102066,0.464492147
156,0.202324596,0.217,1,0.969727283,0.359980051,0.505438548
157,0.135763928,0.05,1,0.996463612,0.364202716,0.522828111
158,0.656365908,0.607,1,0.712033014,0.339626751,0.46762674
159,0.174051062,0.296,1,0.955607086,0.379075738,0.463114799
160,0.191028479,0.029,1,0.998471733,0.385129911,0.576060907
161,0.160087422,0.253,1,0.974054908,0.356054106,0.514154707
162,0.121786437,0.173,1,0.854515512,0.349125083,0.43305535
163,0.160300713,0.233,1,0.955966811,0.344998794,0.450189778
164,0.158937866,0.281,1,0.952533233,0.332208284,0.505171671
165,0.476281755,0.326,1,0.970639557,0.472273114,0.570412206
166,0.173987352,0.296,1,0.955552211,0.384447858,0.463075455
167,0.112598301,0.2,1,0.820305379,0.424542722,0.41194986
168,0.10652643,0.266,1,0.959943859,0.367983163,0.509439304
169,0.16758308,0.279,1,0.92505274,0.357821602,0.452732888
170,0.180832057,0.194,1,0.936665869,0.359917096,0.465204381
171,0.549451676,0.404,0.986307401,0.713042453,0.272974361,0.465514305
172,0.190806877,0.306,1,0.99370452,0.365069647,0.50861816
173,0.120567631,0.095,1,0.989643081,0.36666742,0.533968724
174,0.219892025,0.533,0.999998947,0.361140555,0.340156302,0.367261782
175,0.160087422,0.253,1,0.974054908,0.356054106,0.514154707
176,0.14784673,0.293,1,0.948754863,0.359251574,0.519501076
177,0.151998981,0.286,1,0.940412416,0.285044085,0.459934323
178,0.106296519,0.166,1,0.852089669,0.307545558,0.423676811
179,0.215770244,0.282,1,0.947983309,0.387761806,0.506976227
180,0.238811221,0.286,1,0.965723293,0.344222435,0.530242031
181,0.169397439,0.236,1,0.975005184,0.365545063,0.492248586
182,0.111379495,0.09,1,0.996923771,0.352585446,0.534022953
183,0.153666529,0.186,1,0.940858937,0.432987211,0.477257439
184,0.177635461,0.305,1,0.949052553,0.29219006,0.472603171
185,0.132378971,0.226,1,0.932275723,0.33156846,0.468294342
186,0.141683448,0.225,1,0.933490613,0.334474027,0.463612481
187,0.147226246,0.299,1,0.960274138,0.380871274,0.511246334
188,0.095967137,0.032,1,0.997851579,0.367915529,0.549160063
189,0.200069804,0.286,1,0.953452773,0.394970795,0.507562806
190,0.212515477,0.282,1,0.947578403,0.392971104,0.510056842
191,0.534197208,0.303,1,0.987503489,0.4531016,0.547119058
192,0.174051062,0.296,1,0.955607086,0.379075738,0.463114799
193,0.176793376,0.221,1,0.92828877,0.272265845,0.45878102
194,0.399948478,0.386,0.526483243,0.947169416,0.302179608,0.604190523
195,0.325872762,0.036,1,0.997763653,0.46553385,0.592904622
