SPORE,Total solar capacity ,Battery storage,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
216,0.23818496,0.05,1,0.958574006,0.36841429,0.474486702
217,0.483820567,0.001,0.999999076,0.468312581,0.183412342,0.290861594
218,0.196844863,0.058,1,0.932275723,0.33156846,0.468294342
219,0.22013968,0.054,1,0.960535538,0.366063118,0.536330365
220,0.244877482,0.046,1,0.947934784,0.408147952,0.515869397
221,0.177474457,0.052,1,0.959294096,0.331436379,0.499262904
222,0.430890398,0.433,0.985726396,0.714105142,0.273954874,0.466202453
223,0.176130219,0.066,1,0.994755361,0.348764699,0.539768759
224,0.302751388,0.001,1,0.536863102,0.21278477,0.22193747
225,0.228999865,0.061,1,0.97364813,0.294995923,0.452121373
226,0.188065906,0.049,0.999617616,0.889001685,0.450643412,0.598779288
227,0.230514521,0.042,1,0.953438101,0.4058878,0.507565026
228,0.211502473,0.061,1,0.952533233,0.332208284,0.505171671
229,0.197405493,0.053,1,0.999260877,0.384725219,0.512215613
230,0.24722512,0.078,1,0.997941772,0.435502252,0.585097743
231,0.051093786,0.209,0.992855119,0.749569039,0.403830772,0.557604857
232,0.180671004,0.048,1,0.999129209,0.383110894,0.521180179
233,0.242829271,0.053,1,0.95143362,0.347574393,0.465607862
234,0.176130219,0.066,1,0.994755361,0.348764699,0.539768759
235,0.218943563,0.092,1,0.990567671,0.38002656,0.528521728
236,0.167470714,0.088,1,0.930832185,0.352660635,0.493858501
237,0.189628344,0.04,1,0.968335223,0.349922216,0.485718892
238,0.224946445,0.063,1,0.960416808,0.382076626,0.502143124
239,0.213020315,0.044,1,0.975005184,0.365545063,0.492248586
240,0.207388531,0.078,1,0.983156975,0.362719774,0.553149659
241,0.244861555,0.046,1,0.947879703,0.407908204,0.515843568
242,0.19232319,0.054,1,0.959776801,0.379111184,0.505986363
243,0.228214664,0.053,1,0.974924269,0.362208134,0.511075515
244,0.329107372,0.158,1,0.803691897,0.370256092,0.386997201
245,0.228214664,0.053,1,0.974952023,0.347250067,0.511003402
246,0.482444475,0.216,1,0.792025112,0.423603986,0.447291071
247,0.215995477,0.07,1,0.985233925,0.351870064,0.492958521
248,0.622568546,0.346,1,0.745922314,0.304147686,0.411113479
249,0.429004643,0.536,0.98589364,0.723283815,0.274989833,0.468294666
250,0.407828116,0.117,1,0.987551955,0.452964242,0.547127702
251,0.247261752,0.044,1,0.951591198,0.441711947,0.501282289
252,0.372290222,0.114,1,0.992641866,0.355733098,0.682720495
253,0.30736703,0.063,1,0.959802565,0.330941967,0.613511994
254,0.409392146,0.248,1,0.697763973,0.423342937,0.397208796
255,0.396019845,0,1,0.943979122,0.450143561,0.560032543
256,0.373554825,0.005,0.999998188,0.107258801,0.464405446,0.509524116
257,0.23148129,0.048,1,0.950748256,0.348602494,0.510403923
